🕘️更新时间,#genre#
2025-11-12 07:40:10,http://111.162.205.123:8686/rtp/225.1.1.120:5002

📺央视频道,#genre#
CCTV-1,http://111.162.205.123:8686/rtp/225.1.1.120:5002
CCTV-1,http://121.29.141.45:4022/rtp/239.253.92.83:8012
CCTV-1,http://115.58.216.63:4000/rtp/225.1.4.73:1102
CCTV-1,http://123.145.29.159:8001/udp/225.0.4.74:7980
CCTV-1,http://123.145.29.159:8005/udp/225.0.4.74:7980
CCTV-1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
CCTV-1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
CCTV-1,http://111.113.88.237:2000/rtp/239.121.4.113:8636
CCTV-1,http://121.231.65.66:8095/rtp/239.49.8.129:6000
CCTV-1,http://1.58.246.183:4001/rtp/229.58.190.151:5000
CCTV-2,http://111.162.205.123:8686/rtp/225.1.1.133:5002
CCTV-2,http://123.145.29.159:8005/udp/225.0.4.132:7980
CCTV-2,http://121.29.141.45:4022/rtp/239.253.92.190:6065
CCTV-2,http://115.58.216.63:4000/rtp/225.1.4.74:1103
CCTV-2,http://222.218.122.93:8188/udp/239.81.0.115:4056
CCTV-2,http://27.191.202.243:19999/rtp/239.254.200.158:6000
CCTV-2,http://121.231.65.66:8095/rtp/239.49.8.50:9802
CCTV-2,http://111.113.88.237:2000/rtp/239.121.4.155:8914
CCTV-2,http://123.145.29.159:8001/udp/225.0.4.132:7980
CCTV-2,http://61.159.135.17:18000/rtp/238.255.2.11:5999
CCTV-3,http://111.162.205.123:8686/rtp/225.1.1.158:5002
CCTV-3,http://121.29.141.45:4022/rtp/239.253.92.191:6057
CCTV-3,http://123.145.29.159:8005/udp/225.0.4.142:7980
CCTV-3,http://115.58.216.63:4000/rtp/225.1.4.158:1194
CCTV-3,http://111.113.88.237:2000/rtp/239.121.4.151:8890
CCTV-3,http://123.145.29.159:8001/udp/225.0.4.142:7980
CCTV-3,http://27.191.202.243:19999/rtp/239.254.201.152:7205
CCTV-3,http://61.159.135.17:18000/rtp/238.255.2.133:5999
CCTV-3,http://202.107.163.209:5555/udp/238.125.5.21:5140
CCTV-3,http://171.104.106.97:50112/udp/239.81.0.231:4056
CCTV-4,http://111.162.205.123:8686/rtp/225.1.1.150:5002
CCTV-4,http://223.167.230.34:4022/rtp/239.45.0.2:5140
CCTV-4,http://121.29.141.45:4022/rtp/239.253.92.251:6141
CCTV-4,http://115.58.216.63:4000/rtp/225.1.5.30:1333
CCTV-4,http://123.145.29.159:8005/udp/225.0.4.176:7980
CCTV-4,http://222.218.122.93:8188/udp/239.81.0.96:4056
CCTV-4,http://123.145.29.159:8001/udp/225.0.4.176:7980
CCTV-4,http://123.191.17.41:1111/rtp/232.0.0.201:1234
CCTV-4,http://27.191.202.243:19999/rtp/239.254.200.190:6307
CCTV-4,http://106.116.241.249:9999/rtp/239.254.200.190:6307
CCTV-5,http://111.162.205.123:8686/rtp/225.1.1.160:5002
CCTV-5,http://117.12.151.217:4022/rtp/225.1.1.160:5002
CCTV-5,http://121.29.141.45:4022/rtp/239.253.92.181:6046
CCTV-5,http://114.254.38.118:18888/rtp/239.3.1.173:8001
CCTV-5,http://123.145.29.159:8005/udp/225.0.4.143:7980
CCTV-5,http://115.58.216.63:4000/rtp/225.1.4.159:1195
CCTV-5,http://144.255.32.94:8288/udp/239.21.2.46:5002
CCTV-5,http://106.116.241.249:9999/rtp/239.254.201.153:7206
CCTV-5,http://123.191.17.41:1111/rtp/232.0.0.171:1234
CCTV-5,http://115.171.216.141:4000/rtp/225.1.8.89:8000
CCTV-5+,http://111.162.205.123:8686/rtp/225.1.1.121:5002
CCTV-5+,http://183.236.43.98:4013/udp/239.77.1.31:5146
CCTV-5+,http://121.29.141.45:4022/rtp/239.253.92.82:8013
CCTV-5+,http://117.12.151.217:4022/rtp/225.1.1.121:5002
CCTV-5+,http://123.145.29.159:8005/udp/225.0.4.73:7980
CCTV-5+,http://115.58.216.63:4000/rtp/225.1.4.75:1104
CCTV-5+,http://106.116.241.249:9999/rtp/239.254.200.46:8004
CCTV-5+,http://144.255.32.94:8288/udp/239.21.1.142:5002
CCTV-5+,http://123.145.29.159:8001/udp/225.0.4.73:7980
CCTV-5+,http://115.171.216.141:4000/rtp/225.1.8.20:8004
CCTV-6,http://111.162.205.123:8686/rtp/225.1.1.195:5002
CCTV-6,http://121.29.141.45:4022/rtp/239.253.92.193:6058
CCTV-6,http://115.58.216.63:4000/rtp/225.1.4.160:1196
CCTV-6,http://106.116.241.249:9999/rtp/239.254.201.154:7207
CCTV-6,http://117.12.151.217:4022/rtp/225.1.1.195:5002
CCTV-6,http://183.236.43.98:4013/udp/239.77.0.171:5146
CCTV-6,http://115.171.216.43:4000/rtp/225.1.8.84:8000
CCTV-6,http://115.171.216.141:4000/rtp/225.1.8.84:8000
CCTV-6,http://123.181.124.27:82/rtp/239.254.201.154:7207
CCTV-6,http://111.113.88.237:2000/rtp/239.121.4.153:8902
CCTV-7,http://111.162.205.123:8686/rtp/225.1.1.138:5002
CCTV-7,http://121.29.141.45:4022/rtp/239.253.92.194:6059
CCTV-7,http://115.58.216.63:4000/rtp/225.1.4.76:1105
CCTV-7,http://106.116.241.249:9999/rtp/239.254.200.159:6000
CCTV-7,http://123.145.29.159:8005/udp/225.0.4.127:7980
CCTV-7,http://123.145.29.159:8001/udp/225.0.4.127:7980
CCTV-7,http://117.12.151.217:4022/rtp/225.1.1.138:5002
CCTV-7,http://1.58.246.183:4001/rtp/229.58.190.132:5000
CCTV-7,http://114.254.38.118:18888/rtp/239.3.1.61:8104
CCTV-7,http://111.113.88.237:2000/rtp/239.121.4.156:8920
CCTV-8,http://111.162.205.123:8686/rtp/225.1.1.196:5002
CCTV-8,http://121.29.141.45:4022/rtp/239.253.92.195:6060
CCTV-8,http://115.58.216.63:4000/rtp/225.1.4.161:1197
CCTV-8,http://106.116.241.249:9999/rtp/239.254.201.155:7208
CCTV-8,http://123.145.29.159:8001/udp/225.0.4.137:7980
CCTV-8,http://115.171.216.43:4000/rtp/225.1.8.85:8000
CCTV-8,http://59.173.120.39:4022/rtp/239.69.1.125:10388
CCTV-8,http://123.191.17.41:1111/rtp/232.0.0.173:1234
CCTV-8,http://117.12.151.217:4022/rtp/225.1.1.196:5002
CCTV-8,http://114.254.38.118:18888/rtp/239.3.1.175:8001
CCTV-9,http://111.162.205.123:8686/rtp/225.1.1.119:5002
CCTV-9,http://121.29.141.45:4022/rtp/239.253.92.107:6020
CCTV-9,http://115.58.216.63:4000/rtp/225.1.4.77:1106
CCTV-9,http://123.145.29.159:8001/udp/225.0.4.131:7980
CCTV-9,http://106.116.241.249:9999/rtp/239.254.200.59:8112
CCTV-9,http://1.58.246.183:4000/rtp/229.58.190.156:5000
CCTV-9,http://123.145.29.159:8005/udp/225.0.4.131:7980
CCTV-9,http://115.171.80.57:1688/rtp/225.1.8.9:8112
CCTV-9,http://106.59.2.255:55555/udp/239.200.200.106:8112
CCTV-9,http://114.254.38.118:18888/rtp/239.3.1.62:8112
CCTV-10,http://111.162.205.123:8686/rtp/225.1.1.140:5002
CCTV-10,http://115.58.216.63:4000/rtp/225.1.4.78:1107
CCTV-10,http://121.29.141.45:4022/rtp/239.253.92.196:6061
CCTV-10,http://121.231.65.66:8095/rtp/239.49.8.54:9818
CCTV-10,http://106.116.241.249:9999/rtp/239.254.200.160:6000
CCTV-10,http://1.58.246.183:4000/rtp/229.58.190.157:5000
CCTV-10,http://123.145.29.159:8001/udp/225.0.4.130:7980
CCTV-10,http://123.145.29.159:8005/udp/225.0.4.130:7980
CCTV-10,http://117.12.151.217:4022/rtp/225.1.1.140:5002
CCTV-10,http://59.173.120.39:4022/rtp/239.69.1.105:10268
CCTV-11,http://111.162.205.123:8686/rtp/225.1.2.192:5002
CCTV-11,http://121.29.141.45:4022/rtp/239.253.93.153:6321
CCTV-11,http://123.145.29.159:8001/udp/225.0.4.218:7980
CCTV-11,http://115.58.216.63:4000/rtp/225.1.4.215:1268
CCTV-11,http://106.116.241.249:9999/rtp/239.254.201.123:8120
CCTV-11,http://123.145.29.159:8005/udp/225.0.4.218:7980
CCTV-11,http://106.59.2.255:55555/rtp/239.200.201.125:8480
CCTV-11,http://111.113.88.237:2000/rtp/239.121.4.150:9202
CCTV-11,http://114.254.38.118:18888/rtp/239.3.1.152:8120
CCTV-11,http://117.12.151.217:4022/rtp/225.1.2.192:5002
CCTV-12,http://111.162.205.123:8686/rtp/225.1.1.142:5002
CCTV-12,http://117.12.151.217:4022/rtp/225.1.1.142:5002
CCTV-12,http://121.29.141.45:4022/rtp/239.253.92.197:6062
CCTV-12,http://123.145.29.159:8005/udp/225.0.4.129:7980
CCTV-12,http://144.255.32.94:8288/udp/239.21.1.156:5002
CCTV-12,http://114.254.38.118:18888/rtp/239.3.1.64:8124
CCTV-12,http://115.58.216.63:4000/rtp/225.1.4.79:1108
CCTV-12,http://123.145.29.159:8001/udp/225.0.4.129:7980
CCTV-12,http://106.116.241.249:9999/rtp/239.254.200.161:6000
CCTV-12,http://222.218.122.93:8188/udp/239.81.0.119:4056
CCTV-13,http://121.29.141.45:4022/rtp/239.253.92.13:8008
CCTV-13,http://117.12.151.217:4022/rtp/225.1.2.193:5002
CCTV-13,http://114.254.38.118:18888/rtp/239.3.1.124:8128
CCTV-13,http://115.58.216.63:4000/rtp/225.1.4.113:1293
CCTV-13,http://222.218.122.93:8188/udp/239.81.0.206:4056
CCTV-13,http://144.255.32.94:8288/udp/239.21.2.3:5002
CCTV-13,http://115.171.216.141:4000/rtp/225.1.8.168:8130
CCTV-13,http://123.191.17.41:1111/rtp/232.0.0.15:1234
CCTV-13,http://106.116.241.249:9999/rtp/239.254.200.9:8264
CCTV-13,http://144.255.18.234:6688/udp/239.21.2.3:5002
CCTV-14,http://111.162.205.123:8686/rtp/225.1.1.144:5002
CCTV-14,http://123.145.29.159:8001/udp/225.0.4.128:7980
CCTV-14,http://121.29.141.45:4022/rtp/239.253.92.198:6063
CCTV-14,http://115.58.216.63:4000/rtp/225.1.4.80:1109
CCTV-14,http://121.231.65.66:8095/rtp/239.49.8.136:6000
CCTV-14,http://1.58.246.183:4001/rtp/229.58.190.159:5000
CCTV-14,http://123.145.29.159:8005/udp/225.0.4.128:7980
CCTV-14,http://171.104.106.97:50112/udp/239.81.0.120:4056
CCTV-14,http://59.173.120.39:4022/rtp/239.69.1.107:10280
CCTV-14,http://123.191.17.41:1111/rtp/232.0.0.140:1234
CCTV-15,http://111.162.205.123:8686/rtp/225.1.2.194:5002
CCTV-15,http://121.29.141.45:4022/rtp/239.253.93.154:6322
CCTV-15,http://115.58.216.63:4000/rtp/225.1.4.216:1269
CCTV-15,http://123.145.29.159:8005/udp/225.0.4.220:7980
CCTV-15,http://123.145.29.159:8001/udp/225.0.4.220:7980
CCTV-15,http://171.104.106.97:50112/udp/239.81.0.230:4056
CCTV-15,http://117.12.151.217:4022/rtp/225.1.2.194:5002
CCTV-15,http://114.254.38.118:18888/rtp/239.3.1.153:8136
CCTV-15,http://144.255.32.94:8288/udp/239.21.2.4:5002
CCTV-15,http://123.191.17.41:1111/rtp/232.0.0.179:1234
CCTV-16,http://111.162.205.123:8686/rtp/225.1.2.237:5002
CCTV-16,http://111.113.88.237:2000/rtp/239.121.4.122:8008
CCTV-16,http://114.254.38.118:18888/rtp/239.3.1.184:8001
CCTV-16,http://59.173.120.39:4022/rtp/239.69.1.249:11136
CCTV-16,http://106.59.2.255:55555/rtp/239.200.200.193:8776
CCTV-16,http://202.107.163.209:5555/udp/238.125.5.34:5140
CCTV-16,http://zqh2333.top:2222/rtp/239.93.55.54:5140
CCTV-17,http://111.162.205.123:8686/rtp/225.1.2.52:5002
CCTV-17,http://121.29.141.45:4022/rtp/239.253.93.150:6318
CCTV-17,http://115.58.216.63:4000/rtp/225.1.4.226:2506
CCTV-17,http://123.145.29.159:8001/udp/225.0.4.179:7980
CCTV-17,http://115.171.80.57:1688/rtp/225.1.8.17:8144
CCTV-17,http://121.231.65.66:8095/rtp/239.49.8.132:6000
CCTV-17,http://123.145.29.159:8005/udp/225.0.4.179:7980
CCTV-17,http://1.58.246.183:4001/rtp/229.58.190.211:5000
CCTV-17,http://114.254.38.118:18888/rtp/239.3.1.151:8144
CCTV-17,http://117.12.151.217:4022/rtp/225.1.2.52:5002
CCTV-4K,http://121.29.141.45:4022/rtp/239.253.93.134:6631
CCTV-4K,http://www.tszhgjj.cn:7000/rtp/239.253.93.134:6631
CCTV-4K,http://106.59.2.255:55555/rtp/239.200.200.202:8784
CCTV-4K,http://27.191.202.243:19999/rtp/239.254.201.67:6000
CCTV-4K,http://59.173.120.39:4022/rtp/239.69.1.12:9712
CHC动作电影,http://111.162.205.123:8686/rtp/225.1.1.215:5002
